city,block_x,block_y,lst,green_space_share,built_up_share,n_cells,population,water_share,street_tree_share,building_count,mean_building_height,block_area_km2,building_density_km2,heat_percentile,population_percentile,hotspot_score,hotspot,recommended_intervention,longitude,latitude
Amsterdam,1993,1638,31.606668,0.056965217228159726,0.7157018472336824,3,11257.0,0.015316798678368278,0.9687858669533552,6802.0,7.421933254925022,2.6917125071102337,2527.0157871735287,0.9644808743169399,0.8961748633879781,0.930327868852459,True,Increase green space,5.068138143780541,52.50128242318734
Amsterdam,1993,1646,30.539988,0.07875578553687153,0.7975569853939345,3,9443.0,0.028178217890774723,1.0,7040.0,8.276898266552998,2.3792676372700314,2958.893690529783,0.8975409836065574,0.875,0.8862704918032787,True,Targeted local cooling measures,5.064997629260867,52.6450007547035
Amsterdam,1993,1647,30.156,0.08662189435579758,0.8330006681464905,5,16393.0,0.004702888452088512,1.0,11761.0,7.953860215968031,4.069217317694757,2890.236397269315,0.8415300546448088,0.9316939890710383,0.8866120218579235,True,Targeted local cooling measures,5.057073835901713,52.66084902692199
Amsterdam,1994,1625,29.563334,0.10786613305519728,0.3661211688282127,6,6077.0,0.011257658946594756,0.5787099520005408,4049.0,6.3963681345868375,4.782283992759517,846.666573154224,0.7520491803278688,0.8087431693989071,0.780396174863388,True,Targeted local cooling measures,5.13499723980792,52.27000044660959
Amsterdam,1994,1646,30.789999,0.05962085934453328,0.6507979410047711,3,4059.0,0.050672146372840975,0.8139439987179383,3042.0,7.1951347797501635,2.3791281039263126,1278.619673728262,0.9139344262295082,0.7540983606557377,0.8340163934426229,True,Increase green space,5.09499640844291,52.645000754704895
Amsterdam,1994,1647,30.526663,0.07282277344703368,0.7551102677391398,6,19390.0,0.025078821873311133,0.9872224198973217,13586.0,7.176125000000001,4.759463161658908,2854.5236171687498,0.894808743169399,0.9453551912568307,0.9200819672131149,True,Targeted local cooling measures,5.084994385455359,52.65999983115853
Amsterdam,1995,1625,31.068329,0.13821256088467146,0.7343431870761119,6,21738.0,0.0,0.9148953267214246,13737.0,8.197861250636967,4.782008433046725,2872.6423619558213,0.9344262295081968,0.9549180327868853,0.944672131147541,True,Cooling measures in dense built-up areas,5.164996019504469,52.27000044653197
Amsterdam,1996,1622,29.928335,0.1393989226965913,0.7496516848850795,6,23345.0,0.011460889138342182,0.8701338214873764,12908.0,8.895273546782716,4.7847108908433675,2697.7596545493257,0.8128415300546448,0.9658469945355191,0.889344262295082,True,Targeted local cooling measures,5.194994995176203,52.219997395363066
Amsterdam,1996,1623,29.736673,0.31505682901696114,0.6338594868864577,3,11800.0,0.006087852134664396,0.6911450752825999,8305.0,8.171248645394341,2.3919087893605133,3472.122363921902,0.7773224043715847,0.9002732240437158,0.8387978142076502,True,Targeted local cooling measures,5.1949949812498355,52.23499709492539
Amsterdam,1996,1630,30.818338,0.14903712115109305,0.7740284053473858,6,19801.0,0.028774387296958536,0.9428614520749748,12080.0,7.099466887417218,4.7764590669905065,2529.0701397366356,0.9166666666666666,0.9480874316939891,0.9323770491803278,True,Targeted local cooling measures,5.185000292276045,52.35999678316919
Amsterdam,1997,1628,30.414993,0.16584676314339392,0.5999430827724643,2,7375.0,0.16994709705541516,0.9357778603763816,2813.0,5.984788482047636,1.694913061138095,1659.672147497132,0.8784153005464481,0.837431693989071,0.8579234972677596,True,Targeted local cooling measures,5.219996454055402,52.33500300464727
Amsterdam,1997,1629,30.0775,0.21686760015133777,0.5417489942362741,4,9405.0,0.15005090787659808,0.8269297477159574,6413.0,5.423345811885821,3.3885382580357577,1892.5564687935498,0.8346994535519126,0.8729508196721312,0.8538251366120219,True,Targeted local cooling measures,5.212046888815621,52.34204819882831
Amsterdam,1997,1630,30.696003,0.19082645048998184,0.4464869915083316,5,11576.0,0.16753175263704037,0.6527775978912016,5538.0,6.411361748239118,4.081716354786772,1356.7821765727042,0.907103825136612,0.8975409836065574,0.9023224043715847,True,Targeted local cooling measures,5.212922913501884,52.3591451434001
Amsterdam,1998,1626,30.379995,0.22363338306707425,0.606107495323079,6,16635.0,0.0040081587802684475,0.7568770947216081,10781.0,7.126316815144766,4.780079168925734,2255.4019753657976,0.8743169398907104,0.9330601092896175,0.9036885245901639,True,Targeted local cooling measures,5.244997851592348,52.28999709007138
Amsterdam,1998,1627,32.883343,0.0997541227841413,0.6726765838352522,3,6974.0,0.07762414721345216,0.9935837665882623,5284.0,6.676283118849357,2.389592174217395,2211.255986277466,0.994535519125683,0.8319672131147541,0.9132513661202186,True,Targeted local cooling measures,5.2449978379148074,52.30500441882169
